cod_ibge;municipios;renda_per_capita
3516853;Gavião Peixoto;1725227.00
3516903;General Salgado;85828.00
3517000;Getulina;1184185.00
3517109;Glicério;275099.00
3517208;Guaiçara;215987.00
3517307;Guaimbê;125314.00
3517406;Guaíra;232240.00
3517505;Guapiaçu;442961.00
3517604;Guapiara;2704845.00
3517703;Guará;896415.00
3517802;Guaraçaí;439111.00
3517901;Guaraci;618205.00
3518008;Guarani d'Oeste;326571.00
3518107;Guarantã;375452.00
3518206;Guararapes;37039.00
3518305;Guararema;196318.00
3518404;Guaratinguetá;1199677.00
3518503;Guareí;1546741.00
3518602;Guariba;7877882.00
3518701;Guarujá;313680.00
3518800;Guarulhos;1135133.00
3518859;Guatapará;10494252.00
3518909;Guzolândia;77376466.00
3519006;Herculândia;245363.00
3519055;Holambra;93585.00
3519071;Hortolândia;355955.00
3519105;Iacanga;1463401.00
3519204;Iacri;18377821.00
3519253;Iaras;658009.00
3519303;Ibaté;316795.00
3519402;Ibirá;168922.00
3519501;Ibirarema;1159253.00
3519600;Ibitinga;318126.00
3519709;Ibiúna;244614.00
3519808;Icém;1965222.00
3519907;Iepê;2370585.00
3520004;Igaraçu do Tietê;209289.00
3520103;Igarapava;434355.00
3520202;Igaratá;381184.00
3520301;Iguape;1299637.00
3520400;Ilhabela;240165.00
3520426;Ilha Comprida;1588620.00
3520442;Ilha Solteira;1363561.00
3520509;Indaiatuba;706074.00
3520608;Indiana;13956618.00
3520707;Indiaporã;22817116.00
3520806;Inúbia Paulista;86968.00
3520905;Ipaussu;111102.00
3521002;Iperó;136680.00
3521101;Ipeúna;499098.00
3521150;Ipiguá;969693.00
3521200;Iporanga;947911.00
3521309;Ipuã;124258.00
3521408;Iracemápolis;63459.00
3521507;Irapuã;442715.00
3521606;Irapuru;2127925.00
3521705;Itaberá;186223.00
3521804;Itaí;109595.00
3521903;Itajobi;1016119.00
3522000;Itaju;924896.00
3522109;Itanhaém;935219.00
3522158;Itaóca;232256.00
3522208;Itapecerica da Serra;2369274.00
3522307;Itapetininga;53345.00
3522406;Itapeva;4909298.00
3522505;Itapevi;6359722.00
3522604;Itapira;3788992.00
3522653;Itapirapuã Paulista;12854995.00
3522703;Itápolis;4756331.00
3522802;Itaporanga;52590.00
3522901;Itapuí;1630819.00
3523008;Itapura;305514.00
3523107;Itaquaquecetuba;1003728.00
3523206;Itararé;104627.00
3523305;Itariri;9519617.00
3523404;Itatiba;1182424.00
3523503;Itatinga;438980.00
3523602;Itirapina;8245497.00
3523701;Itirapuã;396659.00
3523800;Itobi;1273183.00
3523909;Itu;161834.00
3524006;Itupeva;198366.00
3524105;Ituverava;10540812.00
3524204;Jaborandi;8423278.00
3524303;Jaboticabal;1907193.00
3524402;Jacareí;153277.00
3524501;Jaci;3601183.00
3524600;Jacupiranga;16094434.00
3524709;Jaguariúna;676808.00
3524808;Jales;531089.00
3524907;Jambeiro;13981301.00
3525003;Jandira;1982125.00
3525102;Jardinópolis;352904.00
3525201;Jarinu;4908360.00
3525300;Jaú;1580760.00
3525409;Jeriquara;2997399.00
3525508;Joanópolis;5582394.00
3525607;João Ramalho;168937.00
3525706;José Bonifácio;261557.00
3525805;Júlio Mesquita;148675.00
3525854;Jumirim;1381751.00
3525904;Jundiaí;58842.00
3526001;Junqueirópolis;213999.00
3526100;Juquiá;57670892.00
3526209;Juquitiba;807879.00
3526308;Lagoinha;366459.00
3526407;Laranjal Paulista;573997.00
3526506;Lavínia;73967.00
3526605;Lavrinhas;1411101.00
3526704;Leme;184895.00
3526803;Lençóis Paulista;133317.00
3526902;Limeira;4101866.00
3527009;Lindóia;4924228.00
